,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
340922,1577059770,49d3fa,47.23072814941406,20.618179321289066,221.44110365843048,123.72698490457779,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059769.2589998,1577059769.744
346319,1577059780,49d3fa,47.22312927246094,20.634933471679688,221.15587960840176,123.61613752892784,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059776.19,1577059779.034
353220,1577059790,49d3fa,47.20843505859375,20.66754913330078,221.30063041396156,123.43148097957571,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059789.5229998,1577059789.576
359533,1577059800,49d3fa,47.19763804290254,20.691199669471157,220.44690749724302,124.06090881680784,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059799.349,1577059799.725
364977,1577059810,49d3fa,47.186512058064096,20.71514423076923,219.8849444979257,124.32211732568598,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059809.447,1577059809.447
372586,1577059820,49d3fa,47.1767578125,20.73628234863281,219.7326368605366,124.02490917862318,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059818.178,1577059819.607
378388,1577059830,49d3fa,47.16380310058594,20.76464080810547,219.58624982635956,123.7272967471946,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059829.98,1577059829.98
383698,1577059840,49d3fa,47.15415825278071,20.785710261418266,219.15857820023143,123.801973203046,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059838.675,1577059839.7
392255,1577059850,49d3fa,47.14196156647245,20.812260554387016,218.88065741253703,124.17561335598793,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059849.806,1577059849.806
397483,1577059860,49d3fa,47.13125610351562,20.83536529541016,219.30645748104473,124.10011490040613,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059859.6320002,1577059859.6320002
402430,1577059870,49d3fa,47.12123107910156,20.85713195800781,219.0184535348276,123.98867474820152,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059868.726,1577059869.956
410101,1577059880,49d3fa,47.10918879104873,20.883389986478363,219.0184535348276,123.98867474820152,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059879.7910001,1577059879.954
414570,1577059890,49d3fa,47.0980224609375,20.907394409179688,218.32072395307233,124.4389893088036,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059889.674,1577059889.89
422188,1577059900,49d3fa,47.086669921875,20.931495666503906,218.18855202379882,124.62680190304096,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059899.9529998,1577059899.994
429530,1577059910,49d3fa,47.07554626464844,20.955116271972656,218.32072395307233,124.4389893088036,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10462.26,1577059909.8760002,1577059909.8760002
434093,1577059920,49d3fa,47.06570434570313,20.97626495361328,218.16611122482777,124.13973086023584,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577059919.052,1577059919.8170002
440508,1577059930,49d3fa,47.05572509765625,20.99789428710937,218.5920924581823,124.06405555337723,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577059927.954,1577059929.934
447338,1577059940,49d3fa,47.04387600139036,21.02360652043269,218.5920924581823,124.06405555337723,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10462.26,1577059938.929,1577059939.865
452325,1577059950,49d3fa,47.03292846679688,21.04712677001953,218.74519423388008,124.36278549070994,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10462.26,1577059948.543,1577059949.687
459489,1577059960,49d3fa,47.025162001787606,21.063678448016827,218.4552388730053,124.25140599415845,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577059955.7,1577059959.742
465853,1577059970,49d3fa,47.01699829101562,21.08125305175781,218.4552388730053,124.25140599415845,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577059963.123,1577059968.533
471854,1577059980,49d3fa,46.99822998046875,21.1212158203125,218.61206833568912,124.5501875878966,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577059979.998,1577059979.998
477296,1577059990,49d3fa,46.98819952496027,21.142484224759613,219.03597402032466,124.47386968385395,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10469.88,1577059988.9,1577059989.832
484165,1577060000,49d3fa,46.97656146550582,21.16741473858173,218.74519423388008,124.36278549070994,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10462.26,1577059999.5770001,1577059999.77
490344,1577060010,49d3fa,46.96609497070313,21.189674377441406,219.03597402032466,124.47386968385395,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10462.26,1577060008.7370002,1577060009.82
496343,1577060020,49d3fa,46.95407673463983,21.215233435997593,219.03597402032466,124.47386968385395,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060019.7729998,1577060019.7729998
502550,1577060030,49d3fa,46.94265747070313,21.23966217041016,219.17004995824715,124.28687697720896,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060029.966,1577060029.967
507723,1577060040,49d3fa,46.93168510824946,21.26319298377404,219.7326368605366,124.02490917862318,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10462.26,1577060039.909,1577060039.909
514825,1577060050,49d3fa,46.92219543457031,21.28374481201172,219.7326368605366,124.02490917862318,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10462.26,1577060048.701,1577060049.41
520717,1577060060,49d3fa,46.9134521484375,21.30255889892578,219.8849444979257,124.32211732568598,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060056.35,1577060059.299
526781,1577060070,49d3fa,46.89903259277344,21.33318328857422,219.91322718387187,124.80535388856475,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060069.2510002,1577060069.62
532061,1577060080,49d3fa,46.889881198689096,21.35228083683894,219.78562540131782,124.99202019855869,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060077.314,1577060079.956
539971,1577060090,49d3fa,46.88355009434586,21.365520770733173,219.78562540131782,124.99202019855869,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060082.961,1577060086.8739998
544117,1577060100,49d3fa,46.86474609375,21.40471667778201,219.78562540131782,124.99202019855869,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060099.492,1577060099.595
550047,1577060110,49d3fa,46.854641154661024,21.42608642578125,220.5999216806925,124.35712925529644,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060108.5770001,1577060109.755
557636,1577060120,49d3fa,46.84249102059057,21.452110290527344,220.7354455897657,124.17153333181817,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060119.444,1577060119.77
562513,1577060130,49d3fa,46.83108572232521,21.47655487060547,221.02480439892963,124.28186860488664,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060129.6560001,1577060129.6560001
569521,1577060140,49d3fa,46.822706319518005,21.49447631835937,221.02480439892963,124.28186860488664,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060137.39,1577060139.3579998
576370,1577060150,49d3fa,46.822706319518005,21.49447631835937,221.6059712983956,124.50167270320642,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10469.88,1577060137.39,1577060146.37
580366,1577060160,49d3fa,46.80189514160156,21.53829435022866,221.34547198621883,124.87201778936732,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10469.88,1577060155.793,1577060159.018
